Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Bolts Team,Match Date,Time
Boston Bolts U16 MLS Next,Normal,Blocked,0,0,83,25,-,-,Boston Bolts U16 MLS Next,3/8/2025,02:06
Gottschee,Normal,SOT,0,0,24,58,-,-,Boston Bolts U16 MLS Next,3/8/2025,06:55
Boston Bolts U16 MLS Next,Normal,SOT,0,0,98,28,-,-,Boston Bolts U16 MLS Next,3/8/2025,09:26
Boston Bolts U16 MLS Next,Normal,Blocked,0,0,87,61,-,-,Boston Bolts U16 MLS Next,3/8/2025,18:51
Boston Bolts U16 MLS Next,Normal,Blocked,0,0,72,46,-,-,Boston Bolts U16 MLS Next,3/8/2025,28:25
Boston Bolts U16 MLS Next,Normal,Shot,0,0,84,56,-,-,Boston Bolts U16 MLS Next,3/8/2025,28:27
Boston Bolts U16 MLS Next,Normal,SOT,0,0,90,32,-,-,Boston Bolts U16 MLS Next,3/8/2025,36:47
Boston Bolts U16 MLS Next,Normal,SOT,0,0,86,33,-,-,Boston Bolts U16 MLS Next,3/8/2025,41:16
Gottschee,Normal,Shot,0,0,30,40,-,-,Boston Bolts U16 MLS Next,3/8/2025,44:09
Boston Bolts U16 MLS Next,Volley,Shot,0,0,86,41,-,-,Boston Bolts U16 MLS Next,3/8/2025,44:56
Gottschee,Normal,Blocked,0,0,19,48,-,-,Boston Bolts U16 MLS Next,3/8/2025,45:44
Boston Bolts U16 MLS Next,Normal,SOT,0,0,17,28,-,-,Boston Bolts U16 MLS Next,3/8/2025,49:53
Gottschee,Header,Blocked,0,0,91,46,-,-,Boston Bolts U16 MLS Next,3/8/2025,52:43
Gottschee,First Time,Goal,0,0,90,52,-,-,Boston Bolts U16 MLS Next,3/8/2025,52:45
Boston Bolts U16 MLS Next,Normal,SOT,0,0,16,43,-,-,Boston Bolts U16 MLS Next,3/8/2025,56:14
Gottschee,Normal,SOT,0,0,90,66,-,-,Boston Bolts U16 MLS Next,3/8/2025,56:55
Boston Bolts U16 MLS Next,Normal,Shot,0,0,18,63,-,-,Boston Bolts U16 MLS Next,3/8/2025,61:52
Gottschee,Normal,SOT,0,0,97,30,-,-,Boston Bolts U16 MLS Next,3/8/2025,63:27
Gottschee,Normal,Shot,0,0,92,29,-,-,Boston Bolts U16 MLS Next,3/8/2025,64:37
Boston Bolts U16 MLS Next,First Time,SOT,0,0,7,66,-,-,Boston Bolts U16 MLS Next,3/8/2025,71:53
Boston Bolts U16 MLS Next,Normal,Blocked,0,0,16,64,-,-,Boston Bolts U16 MLS Next,3/8/2025,72:22
Boston Bolts U16 MLS Next,FK,Blocked,0,0,22,69,-,-,Boston Bolts U16 MLS Next,3/8/2025,74:11
Boston Bolts U16 MLS Next,Volley,Blocked,0,0,15,32,-,-,Boston Bolts U16 MLS Next,3/8/2025,74:45
Gottschee,Normal,SOT,0,0,89,51,-,-,Boston Bolts U16 MLS Next,3/8/2025,77:59
Gottschee,Normal,Shot,0,0,74,35,-,-,Boston Bolts U16 MLS Next,3/8/2025,78:53
Boston Bolts U16 MLS Next,FK,Goal,0,0,17,64,-,-,Boston Bolts U16 MLS Next,3/8/2025,81:03
Gottschee,Normal,SOT,0,0,95,57,-,-,Boston Bolts U16 MLS Next,3/8/2025,83:10
Gottschee,1 on 1,Goal,0,0,95,52,-,-,Boston Bolts U16 MLS Next,3/8/2025,83:13
Gottschee,Normal,SOT,0,0,77,48,-,-,Boston Bolts U16 MLS Next,3/8/2025,86:18
Boston Bolts U16 MLS Next,First Time,SOT,0,0,5,59,-,-,Boston Bolts U16 MLS Next,3/8/2025,87:11
Boston Bolts U16 MLS Next,Normal,Shot,0,0,21,68,-,-,Boston Bolts U16 MLS Next,3/8/2025,87:20
Boston Bolts U16 MLS Next,Normal,SOT,0,0,9,51,-,-,Boston Bolts U16 MLS Next,3/8/2025,89:59
Boston Bolts U16 MLS Next,1 on 1,Goal,0,0,1,45,-,-,Boston Bolts U16 MLS Next,3/8/2025,90:02
Boston Bolts U16 MLS Next,Normal,SOT,0,0,26,49,-,-,Boston Bolts U16 MLS Next,3/8/2025,92:51
